result/trace.csv                  S5FIFO-0.1000-2 cache size  1048576, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S3FIFO-0.1000-2 cache size  1048576, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S5FIFO-0.1000-2 cache size  1048576, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S3FIFO-0.1000-2 cache size  1048576, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                              LRU cache size  1048576, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S5FIFO-0.1000-2 cache size  1048576, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S3FIFO-0.1000-2 cache size  1048576, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                              LRU cache size  1048576, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S5FIFO-0.1000-2 cache size  1048576, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S4FIFO-0.1000-2 cache size  1048576, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S3FIFO-0.1000-2 cache size  1048576, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S5FIFO-0.1000-2 cache size  1048576, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S4FIFO-0.1000-2 cache size  1048576, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S3FIFO-0.1000-2 cache size  1048576, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S5FIFO-0.1000-2 cache size     1024, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S4FIFO-0.1000-2 cache size     1024, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S3FIFO-0.1000-2 cache size     1024, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S5FIFO-0.1000-2 cache size      100, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S4FIFO-0.1000-2 cache size      100, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S3FIFO-0.1000-2 cache size      100, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S5FIFO-0.1000-2 cache size      100, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S4FIFO-0.1000-2 cache size      100, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
result/trace.csv                  S3FIFO-0.1000-2 cache size      100, 113872 req, miss ratio 0.0000, byte miss ratio 0.0000
